dynamic,2,5,30,"tensor(20.9732, device='cuda:0')",0.1166,0.2682,0.3622,0.467,0.5318,0.5796,0.6178,0.652,0.6774,0.7006,0.7174,0.734,0.7504,0.7636,0.7744,0.8864,0.9156,0.9358,0.9482,0.957,0.9636,0.969,0.974
dynamic,2,5,10,"tensor(21.2678, device='cuda:0')",0.1368,0.3394,0.4616,0.5776,0.6502,0.7014,0.739,0.7638,0.7886,0.804,0.8186,0.8296,0.8402,0.8512,0.8586,0.9238,0.938,0.9444,0.9508,0.9568,0.961,0.9638,0.9666
total,2,5,10,"tensor(21.2678, device='cuda:0')",0.2728,0.3394
total,2,5,30,"tensor(20.9732, device='cuda:0')",0.2188,0.2682
dynamic,2,5,50,"tensor(18.6622, device='cuda:0')",0.0722,0.1544,0.2054,0.2794,0.3258,0.3612,0.3936,0.4198,0.4424,0.471,0.4898,0.5126,0.5318,0.5468,0.562,0.7296,0.785,0.8208,0.8508,0.8752,0.893,0.9102,0.9254
dynamic,2,5,70,"tensor(19.0342, device='cuda:0')",0.0398,0.1256,0.1994,0.3034,0.374,0.4292,0.4692,0.5022,0.5294,0.5594,0.5866,0.6064,0.6214,0.638,0.6536,0.7894,0.8338,0.8632,0.8828,0.9004,0.915,0.9236,0.9338
dynamic,2,5,60,"tensor(18.7504, device='cuda:0')",0.0438,0.119,0.1854,0.2736,0.3408,0.3908,0.4348,0.4672,0.4986,0.5236,0.5482,0.5724,0.5908,0.6062,0.6224,0.7674,0.8156,0.8514,0.8726,0.8926,0.9072,0.9208,0.9324
dynamic,2,5,90,"tensor(17.9552, device='cuda:0')",0.0308,0.1028,0.1606,0.233,0.2832,0.3296,0.3666,0.399,0.4246,0.449,0.4764,0.4976,0.5154,0.5314,0.5478,0.7114,0.7628,0.8004,0.8268,0.8476,0.867,0.8816,0.8988
total,2,5,90,"tensor(17.9552, device='cuda:0')",0.0834,0.1028
total,2,10,10,"tensor(21.2678, device='cuda:0')",0.3354,0.444,0.4616
total,2,20,30,"tensor(20.9732, device='cuda:0')",0.3156,0.4234,0.4538,0.467
total,2,5,30,"tensor(20.9732, device='cuda:0')",0.2188,0.2682
total,2,5,10,"tensor(21.2678, device='cuda:0')",0.2728,0.3394
total,2,5,10,"tensor(21.2678, device='cuda:0')",0.2728,0.3394
total,2,5,30,"tensor(20.9732, device='cuda:0')",0.2188,0.2682
total,2,5,50,"tensor(18.6622, device='cuda:0')",0.1294,0.1544
total,2,5,60,"tensor(18.7504, device='cuda:0')",0.0998,0.119
total,2,5,70,"tensor(19.0342, device='cuda:0')",0.1086,0.1256
total,2,5,90,"tensor(17.9552, device='cuda:0')",0.0834,0.1028
dynamic,6,5,10,"tensor(18.0776, device='cuda:0')",0.0888,0.216,0.2966,0.373,0.4206,0.4528,0.4762,0.4966,0.5128,0.5266,0.5398,0.5514,0.5626,0.5736,0.5838,0.666,0.689,0.7036,0.7132,0.7216,0.7274,0.7346,0.739
total,6,5,10,"tensor(18.0776, device='cuda:0')",0.178,0.216
dynamic,2,5,300,"tensor(1.1358, device='cuda:0')",0.0026,0.0064,0.0072,0.0084,0.0094,0.0104,0.0152,0.0192,0.0248,0.0318,0.0372,0.0412,0.0446,0.049,0.0518,0.1038,0.1336,0.1594,0.1846,0.2126,0.2352,0.2624,0.2908
total,2,5,300,"tensor(1.1358, device='cuda:0')",0.0052,0.0064
dynamic,6,5,50,"tensor(17.0652, device='cuda:0')",0.0534,0.1332,0.1862,0.2572,0.3014,0.34,0.3672,0.3918,0.4084,0.423,0.4384,0.4514,0.4642,0.4758,0.4854,0.5936,0.6298,0.6594,0.6798,0.6962,0.7162,0.7288,0.7414
total,6,5,50,"tensor(17.0652, device='cuda:0')",0.1124,0.1332
dynamic,6,5,60,"tensor(15.8366, device='cuda:0')",0.0592,0.128,0.1716,0.227,0.2736,0.3058,0.3326,0.3564,0.3798,0.3954,0.4126,0.4248,0.4388,0.451,0.4618,0.5666,0.6026,0.6314,0.6488,0.6652,0.6804,0.692,0.7004
total,6,5,60,"tensor(15.8366, device='cuda:0')",0.1056,0.128
total,2,50,300,"tensor(1.1358, device='cuda:0')",0.0114,0.015,0.015,0.0152,0.0152,0.0152,0.0152
total,6,50,10,"tensor(18.0776, device='cuda:0')",0.2964,0.4136,0.4474,0.4706,0.4752,0.476,0.4762
total,6,50,60,"tensor(15.8366, device='cuda:0')",0.2146,0.2958,0.3166,0.3308,0.332,0.3326,0.3326
dynamic,12,20,70,"tensor(15.5236, device='cuda:0')",0.0476,0.1212,0.1656,0.2178,0.2632,0.291,0.3184,0.3384,0.3546,0.3714,0.386,0.3992,0.4134,0.4212,0.4324,0.5432,0.5724,0.5992,0.6186,0.6362,0.6514,0.6656,0.6768
total,12,20,70,"tensor(15.5236, device='cuda:0')",0.1484,0.2026,0.2138,0.2178
total,2,100,300,"tensor(1.1358, device='cuda:0')",0.0294,0.0396,0.041,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412
dynamic,6,50,90,"tensor(15.8472, device='cuda:0')",0.0456,0.106,0.1496,0.2136,0.2534,0.2862,0.3172,0.3416,0.3638,0.3828,0.3978,0.4122,0.4298,0.4408,0.4528,0.5622,0.6048,0.6362,0.662,0.6788,0.6968,0.7098,0.7232
total,6,50,90,"tensor(15.8472, device='cuda:0')",0.2042,0.2774,0.2974,0.3132,0.3164,0.3172,0.3172
total,6,100,10,"tensor(18.0776, device='cuda:0')",0.3232,0.4568,0.5016,0.5312,0.5438,0.548,0.5502,0.551,0.5512,0.5514,0.5514,0.5514
total,6,100,50,"tensor(17.0652, device='cuda:0')",0.2718,0.3818,0.4166,0.439,0.4478,0.45,0.4506,0.4514,0.4514,0.4514,0.4514,0.4514
total,6,100,60,"tensor(15.8366, device='cuda:0')",0.259,0.3628,0.3928,0.4154,0.423,0.4242,0.4244,0.4248,0.4248,0.4248,0.4248,0.4248
total,6,100,90,"tensor(15.8472, device='cuda:0')",0.2508,0.3474,0.379,0.3992,0.409,0.4108,0.4114,0.4122,0.4122,0.4122,0.4122,0.4122
dynamic,6,100,70,"tensor(16.5174, device='cuda:0')",0.0386,0.115,0.1682,0.2318,0.2774,0.3104,0.3394,0.3648,0.3836,0.4014,0.4176,0.4316,0.444,0.4558,0.4678,0.5836,0.6226,0.6498,0.67,0.691,0.7054,0.7198,0.7294
total,6,100,70,"tensor(16.5174, device='cuda:0')",0.2584,0.3672,0.3972,0.419,0.4286,0.4304,0.4308,0.4314,0.4316,0.4316,0.4316,0.4316
dynamic,6,100,80,"tensor(16.2594, device='cuda:0')",0.0462,0.115,0.1588,0.223,0.2652,0.3022,0.3352,0.3612,0.382,0.4016,0.4186,0.431,0.4464,0.4594,0.4722,0.5814,0.6204,0.6482,0.6722,0.6926,0.7084,0.7242,0.7376
total,6,100,80,"tensor(16.2594, device='cuda:0')",0.2586,0.3668,0.3974,0.4172,0.428,0.4302,0.4304,0.431,0.431,0.431,0.431,0.431
dynamic,6,100,100,"tensor(14.2926, device='cuda:0')",0.043,0.1068,0.1462,0.208,0.2546,0.2864,0.3084,0.3292,0.3456,0.3618,0.375,0.39,0.4,0.4104,0.42,0.5056,0.5364,0.5634,0.5824,0.6002,0.6148,0.6276,0.636
total,6,100,100,"tensor(14.2926, device='cuda:0')",0.2328,0.3316,0.3616,0.3826,0.3886,0.3896,0.3896,0.39,0.39,0.39,0.39,0.39
dynamic,6,100,300,"tensor(9.2570, device='cuda:0')",0.0246,0.059,0.0834,0.1224,0.1482,0.1658,0.1796,0.195,0.2076,0.2146,0.2238,0.2306,0.237,0.243,0.247,0.315,0.3418,0.363,0.38,0.393,0.4086,0.4172,0.429
total,6,100,300,"tensor(9.2570, device='cuda:0')",0.1456,0.2038,0.2192,0.2294,0.2306,0.2306,0.2306,0.2306,0.2306,0.2306,0.2306,0.2306
dynamic,6,100,400,"tensor(7.2872, device='cuda:0')",0.0232,0.0538,0.0744,0.1024,0.1168,0.1296,0.1394,0.1484,0.1574,0.1646,0.1714,0.1792,0.1846,0.1898,0.1936,0.2478,0.2676,0.286,0.302,0.3188,0.3352,0.348,0.3636
total,6,100,400,"tensor(7.2872, device='cuda:0')",0.125,0.1668,0.1766,0.179,0.179,0.179,0.179,0.1792,0.1792,0.1792,0.1792,0.1792
dynamic,6,100,500,"tensor(6.8136, device='cuda:0')",0.0164,0.042,0.0606,0.0814,0.0966,0.108,0.1156,0.1236,0.1304,0.1368,0.1418,0.1474,0.1534,0.1574,0.1626,0.2194,0.2406,0.2636,0.2826,0.3024,0.3194,0.3362,0.3492
total,6,100,500,"tensor(6.8136, device='cuda:0')",0.1002,0.137,0.1456,0.1474,0.1474,0.1474,0.1474,0.1474,0.1474,0.1474,0.1474,0.1474
dynamic,12,100,1,"tensor(16.3722, device='cuda:0')",0.125,0.2414,0.3112,0.3838,0.4268,0.4548,0.4722,0.4842,0.4936,0.5032,0.5108,0.5166,0.5236,0.529,0.5328,0.5788,0.5886,0.5964,0.6006,0.604,0.6058,0.6084,0.6114
total,12,100,1,"tensor(16.3722, device='cuda:0')",0.3094,0.4286,0.4702,0.4992,0.5092,0.5136,0.5154,0.5162,0.5162,0.5164,0.5166,0.5166
dynamic,12,100,30,"tensor(17.6644, device='cuda:0')",0.071,0.1572,0.2162,0.2848,0.3294,0.3634,0.388,0.4088,0.4262,0.4446,0.4572,0.4664,0.4786,0.4888,0.4984,0.6212,0.6574,0.6792,0.6994,0.7158,0.7324,0.7444,0.7522
total,12,100,30,"tensor(17.6644, device='cuda:0')",0.2742,0.3942,0.4272,0.4466,0.4602,0.4634,0.4648,0.4654,0.4664,0.4664,0.4664,0.4664
dynamic,12,100,50,"tensor(16.4248, device='cuda:0')",0.056,0.1362,0.1854,0.241,0.2854,0.321,0.347,0.3682,0.3864,0.4002,0.416,0.4264,0.4384,0.45,0.4614,0.5662,0.5966,0.622,0.6434,0.6612,0.6766,0.6924,0.7038
total,12,100,50,"tensor(16.4248, device='cuda:0')",0.2476,0.358,0.3884,0.4098,0.4218,0.4246,0.4258,0.4262,0.4264,0.4264,0.4264,0.4264
total,12,100,70,"tensor(15.5236, device='cuda:0')",0.2348,0.3378,0.367,0.3868,0.3964,0.3984,0.3992,0.3992,0.3992,0.3992,0.3992,0.3992
dynamic,12,100,60,"tensor(15.7352, device='cuda:0')",0.05,0.1272,0.17,0.2228,0.2652,0.293,0.3176,0.338,0.3618,0.3744,0.3894,0.4004,0.412,0.4224,0.4338,0.5406,0.5722,0.5972,0.619,0.6362,0.65,0.6632,0.6724
total,12,100,60,"tensor(15.7352, device='cuda:0')",0.237,0.3404,0.3684,0.3882,0.397,0.399,0.4002,0.4004,0.4004,0.4004,0.4004,0.4004
dynamic,12,100,80,"tensor(15.2478, device='cuda:0')",0.0426,0.1082,0.1494,0.2054,0.2456,0.2724,0.2984,0.318,0.3364,0.3526,0.365,0.3796,0.3906,0.4032,0.4144,0.5214,0.554,0.5812,0.604,0.6206,0.638,0.6536,0.6658
dynamic,12,100,90,"tensor(14.9740, device='cuda:0')",0.0416,0.106,0.143,0.1972,0.238,0.2636,0.2888,0.3078,0.33,0.3464,0.3634,0.3762,0.3896,0.4016,0.4132,0.517,0.5534,0.5832,0.6072,0.6256,0.6432,0.6588,0.6722
total,12,100,80,"tensor(15.2478, device='cuda:0')",0.2274,0.3224,0.35,0.3678,0.3766,0.3782,0.3792,0.3796,0.3796,0.3796,0.3796,0.3796
total,12,100,90,"tensor(14.9740, device='cuda:0')",0.2206,0.3214,0.3468,0.364,0.3738,0.3748,0.3758,0.3762,0.3762,0.3762,0.3762,0.3762
dynamic,12,100,100,"tensor(14.6108, device='cuda:0')",0.0504,0.1156,0.1556,0.2054,0.2418,0.2666,0.2912,0.3098,0.3266,0.3416,0.3574,0.3696,0.3818,0.3952,0.4052,0.501,0.536,0.5602,0.5826,0.5988,0.617,0.6296,0.6426
total,12,100,100,"tensor(14.6108, device='cuda:0')",0.2178,0.3158,0.3414,0.36,0.3674,0.3688,0.3694,0.3696,0.3696,0.3696,0.3696,0.3696
dynamic,12,100,300,"tensor(10.6172, device='cuda:0')",0.0286,0.0652,0.0904,0.1266,0.1498,0.1678,0.18,0.1934,0.205,0.215,0.2246,0.2336,0.2402,0.247,0.2524,0.328,0.3596,0.3812,0.4018,0.4184,0.4354,0.4512,0.4638
dynamic,12,100,400,"tensor(9.6442, device='cuda:0')",0.0244,0.057,0.0826,0.1116,0.1346,0.1498,0.1658,0.177,0.1884,0.1972,0.2056,0.2124,0.2208,0.2272,0.2332,0.3098,0.3362,0.3594,0.378,0.3948,0.4128,0.4266,0.4446
total,12,100,300,"tensor(10.6172, device='cuda:0')",0.1468,0.2062,0.2216,0.2324,0.2332,0.2336,0.2336,0.2336,0.2336,0.2336,0.2336,0.2336
total,12,100,400,"tensor(9.6442, device='cuda:0')",0.1372,0.1908,0.2016,0.2114,0.2122,0.2122,0.2122,0.2124,0.2124,0.2124,0.2124,0.2124
dynamic,12,100,500,"tensor(8.6634, device='cuda:0')",0.0194,0.0456,0.069,0.0926,0.109,0.1254,0.1374,0.1492,0.1594,0.167,0.1748,0.179,0.185,0.1902,0.1958,0.2644,0.2876,0.31,0.3302,0.351,0.3684,0.3876,0.4034
total,12,100,500,"tensor(8.6634, device='cuda:0')",0.121,0.1618,0.1746,0.1786,0.1788,0.1788,0.179,0.179,0.179,0.179,0.179,0.179
total,2,500,10,"tensor(21.2678, device='cuda:0')",0.4774,0.7186,0.7968,0.8616,0.8924,0.9098,0.922,0.9284,0.9336,0.937,0.9384,0.9402,0.9416,0.942,0.9426,0.9444,0.9444,0.9444
total,2,500,30,"tensor(20.9732, device='cuda:0')",0.4722,0.7114,0.794,0.855,0.8828,0.9016,0.9146,0.9218,0.9266,0.929,0.9302,0.9324,0.933,0.9332,0.9344,0.9358,0.9358,0.9358
total,2,500,50,"tensor(18.6622, device='cuda:0')",0.4214,0.6324,0.7032,0.755,0.7812,0.7962,0.806,0.812,0.8152,0.817,0.818,0.8186,0.8192,0.8198,0.8202,0.8208,0.8208,0.8208
total,2,500,60,"tensor(18.7504, device='cuda:0')",0.4418,0.6546,0.7278,0.783,0.8096,0.8258,0.8372,0.8428,0.846,0.8476,0.8486,0.8496,0.8498,0.8506,0.8512,0.8514,0.8514,0.8514
total,2,500,70,"tensor(19.0342, device='cuda:0')",0.4448,0.6656,0.738,0.7958,0.821,0.8376,0.8484,0.8542,0.8566,0.8586,0.8598,0.861,0.8616,0.8626,0.863,0.8632,0.8632,0.8632
total,2,500,90,"tensor(17.9552, device='cuda:0')",0.4256,0.6274,0.696,0.745,0.768,0.7818,0.7912,0.7948,0.7972,0.7982,0.7988,0.799,0.7996,0.8,0.8002,0.8004,0.8004,0.8004
total,2,500,300,"tensor(1.1358, device='cuda:0')",0.1036,0.1418,0.1514,0.1576,0.1586,0.1586,0.159,0.159,0.159,0.1592,0.1592,0.1592,0.1592,0.1592,0.1592,0.1592,0.1594,0.1594
total,6,500,10,"tensor(18.0776, device='cuda:0')",0.3794,0.5514,0.6124,0.6594,0.678,0.6884,0.6944,0.6982,0.6996,0.701,0.7018,0.7026,0.7028,0.7032,0.7032,0.7036,0.7036,0.7036
total,6,500,60,"tensor(15.8366, device='cuda:0')",0.347,0.5058,0.557,0.5954,0.615,0.6222,0.627,0.6282,0.6298,0.6302,0.631,0.6312,0.6314,0.6314,0.6314,0.6314,0.6314,0.6314
total,6,500,50,"tensor(17.0652, device='cuda:0')",0.3618,0.524,0.5814,0.6204,0.6382,0.6484,0.6526,0.655,0.6564,0.657,0.6576,0.658,0.6584,0.6588,0.659,0.6594,0.6594,0.6594
total,6,500,70,"tensor(16.5174, device='cuda:0')",0.3544,0.5184,0.5694,0.6108,0.6278,0.6378,0.643,0.6462,0.6472,0.6478,0.648,0.6484,0.6488,0.6492,0.6492,0.6498,0.6498,0.6498
total,6,500,80,"tensor(16.2594, device='cuda:0')",0.3542,0.516,0.5678,0.6046,0.625,0.6368,0.6414,0.6448,0.6458,0.646,0.646,0.6468,0.6474,0.6476,0.6482,0.6482,0.6482,0.6482
total,6,500,90,"tensor(15.8472, device='cuda:0')",0.3472,0.5098,0.558,0.5954,0.6146,0.6248,0.6298,0.6332,0.6334,0.6336,0.6342,0.635,0.6354,0.6356,0.6356,0.6362,0.6362,0.6362
total,6,500,100,"tensor(14.2926, device='cuda:0')",0.3052,0.4506,0.4946,0.532,0.548,0.5556,0.5588,0.5606,0.5614,0.562,0.5628,0.563,0.563,0.5632,0.5632,0.5634,0.5634,0.5634
total,6,500,300,"tensor(9.2570, device='cuda:0')",0.2206,0.3066,0.3348,0.3532,0.36,0.3618,0.3626,0.3626,0.3628,0.3628,0.3628,0.3628,0.3628,0.3628,0.3628,0.3628,0.363,0.363
total,6,500,400,"tensor(7.2872, device='cuda:0')",0.1838,0.2518,0.2704,0.2826,0.2846,0.2852,0.2856,0.2856,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.286,0.286,0.286
total,6,500,500,"tensor(6.8136, device='cuda:0')",0.1704,0.2332,0.249,0.2604,0.2624,0.2628,0.263,0.2632,0.2632,0.2632,0.2632,0.2632,0.2632,0.2632,0.2632,0.2636,0.2636,0.2636
total,12,500,1,"tensor(16.3722, device='cuda:0')",0.3404,0.475,0.5254,0.5618,0.5778,0.5856,0.5896,0.5918,0.5932,0.5934,0.5946,0.5948,0.595,0.5952,0.5954,0.5962,0.5964,0.5964
total,12,500,30,"tensor(17.6644, device='cuda:0')",0.3648,0.5332,0.5928,0.632,0.651,0.664,0.67,0.6732,0.6748,0.6766,0.6766,0.6776,0.6782,0.6784,0.6786,0.6792,0.6792,0.6792
total,12,500,50,"tensor(16.4248, device='cuda:0')",0.3366,0.4924,0.5478,0.583,0.5996,0.611,0.6158,0.6184,0.6202,0.6202,0.6206,0.6208,0.6212,0.6216,0.6218,0.622,0.622,0.622
total,12,500,60,"tensor(15.7352, device='cuda:0')",0.3288,0.4756,0.528,0.5638,0.579,0.5876,0.5912,0.5936,0.5948,0.595,0.5958,0.596,0.5962,0.5966,0.5966,0.5972,0.5972,0.5972
total,12,500,70,"tensor(15.5236, device='cuda:0')",0.3254,0.4744,0.5294,0.562,0.579,0.5886,0.5936,0.5956,0.5972,0.5976,0.5978,0.598,0.5984,0.5988,0.599,0.5992,0.5992,0.5992
total,12,500,80,"tensor(15.2478, device='cuda:0')",0.3194,0.4606,0.5152,0.5472,0.5626,0.572,0.576,0.5778,0.5788,0.5794,0.58,0.5802,0.5808,0.581,0.5812,0.5812,0.5812,0.5812
total,12,500,90,"tensor(14.9740, device='cuda:0')",0.3154,0.466,0.5136,0.5482,0.5644,0.5738,0.5784,0.5802,0.5814,0.5816,0.5824,0.5824,0.5828,0.5828,0.5832,0.5832,0.5832,0.5832
total,12,500,100,"tensor(14.6108, device='cuda:0')",0.2992,0.4442,0.4938,0.5262,0.5432,0.5522,0.5556,0.5574,0.5582,0.559,0.5596,0.56,0.56,0.5602,0.5602,0.5602,0.5602,0.5602
total,12,500,300,"tensor(10.6172, device='cuda:0')",0.2186,0.3166,0.3444,0.3686,0.3772,0.3792,0.3798,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3812,0.3812,0.3812
total,12,500,400,"tensor(9.6442, device='cuda:0')",0.212,0.3042,0.3286,0.3504,0.356,0.3576,0.3582,0.3586,0.3588,0.3588,0.3588,0.3588,0.3588,0.3588,0.3588,0.3594,0.3594,0.3594
total,12,500,500,"tensor(8.6634, device='cuda:0')",0.1936,0.2644,0.2882,0.3048,0.3082,0.309,0.3094,0.3094,0.3094,0.3094,0.3094,0.3094,0.3094,0.3094,0.3094,0.31,0.31,0.31
total,2,5,10,"tensor(21.2678, device='cuda:0')",0.2728,0.3394
total,2,5,30,"tensor(20.9732, device='cuda:0')",0.2188,0.2682
total,2,5,50,"tensor(18.6622, device='cuda:0')",0.1294,0.1544
total,2,5,60,"tensor(18.7504, device='cuda:0')",0.0998,0.119
total,2,5,70,"tensor(19.0342, device='cuda:0')",0.1086,0.1256
total,2,5,90,"tensor(17.9552, device='cuda:0')",0.0834,0.1028
total,2,5,300,"tensor(1.1358, device='cuda:0')",0.0052,0.0064
total,6,5,10,"tensor(18.0776, device='cuda:0')",0.178,0.216
total,6,5,50,"tensor(17.0652, device='cuda:0')",0.1124,0.1332
total,6,5,60,"tensor(15.8366, device='cuda:0')",0.1056,0.128
total,6,5,70,"tensor(16.5174, device='cuda:0')",0.0966,0.115
total,6,5,80,"tensor(16.2594, device='cuda:0')",0.0956,0.115
total,6,5,100,"tensor(14.2926, device='cuda:0')",0.0926,0.1068
total,6,5,90,"tensor(15.8472, device='cuda:0')",0.0886,0.106
total,6,5,300,"tensor(9.2570, device='cuda:0')",0.0496,0.059
total,6,5,400,"tensor(7.2872, device='cuda:0')",0.0458,0.0538
total,6,5,500,"tensor(6.8136, device='cuda:0')",0.036,0.042
total,12,5,1,"tensor(16.3722, device='cuda:0')",0.2016,0.2414
total,12,5,30,"tensor(17.6644, device='cuda:0')",0.1292,0.1572
total,12,5,50,"tensor(16.4248, device='cuda:0')",0.113,0.1362
total,12,5,60,"tensor(15.7352, device='cuda:0')",0.1036,0.1272
