total,2,100,50,0.7296,0.9092,0.942,0.9572,0.9604,0.9624,0.9632,0.9636,0.964,0.9652,0.966,0.966
dynamic,2,100,50,0.5172,0.7872,0.8632,0.916,0.9344,0.9448,0.9516,0.9584,0.9596,0.9612,0.9632,0.966,0.9668,0.9688,0.9708,0.9808,0.9828,0.986,0.9888,0.9912,0.9948,0.998,1.0
total,2,100,100,0.6912,0.8612,0.8892,0.9004,0.9036,0.9064,0.9068,0.9072,0.908,0.9088,0.9096,0.9096
dynamic,2,100,100,0.3796,0.6528,0.746,0.8184,0.8472,0.8676,0.8788,0.8868,0.8936,0.8996,0.9044,0.9096,0.9144,0.9164,0.9196,0.946,0.9592,0.9704,0.98,0.9856,0.9908,0.9956,1.0
total,2,100,100,0.6912,0.8612,0.8892,0.9004,0.9036,0.9064,0.9068,0.9072,0.908,0.9088,0.9096,0.9096
dynamic,2,100,100,0.3796,0.6528,0.746,0.8184,0.8472,0.8676,0.8788,0.8868,0.8936,0.8996,0.9044,0.9096,0.9144,0.9164,0.9196,0.946,0.9592,0.9704,0.98,0.9856,0.9908,0.9956,1.0
total,2,100,50,0.7296,0.9092,0.942,0.9572,0.9604,0.9624,0.9632,0.9636,0.964,0.9652,0.966,0.966
dynamic,2,100,50,0.5172,0.7872,0.8632,0.916,0.9344,0.9448,0.9516,0.9584,0.9596,0.9612,0.9632,0.966,0.9668,0.9688,0.9708,0.9808,0.9828,0.986,0.9888,0.9912,0.9948,0.998,1.0
total,2,100,50,"tensor(24.1848, device='cuda:0')",0.7448,0.9284,0.9628,0.978,0.9812,0.984,0.9844,0.9852,0.9864,0.9872,0.988,0.988
dynamic,2,100,50,"tensor(24.1848, device='cuda:0')",0.448,0.7452,0.8464,0.9136,0.9396,0.9568,0.9632,0.9732,0.9788,0.9824,0.986,0.988,0.9892,0.9904,0.9908,0.9964,0.9964,0.9984,0.9988,0.9992,1.0,1.0,1.0
total,2,100,100,"tensor(5.9680, device='cuda:0')",0.2792,0.3336,0.3396,0.3424,0.3444,0.3448,0.3448,0.3452,0.3452,0.3452,0.3456,0.3456
dynamic,2,100,100,"tensor(5.9680, device='cuda:0')",0.0912,0.1724,0.1956,0.2284,0.2492,0.2668,0.28,0.2944,0.3052,0.3188,0.3336,0.3456,0.3524,0.362,0.3708,0.5356,0.6216,0.7016,0.764,0.8308,0.8916,0.9492,1.0
total,2,100,200,"tensor(9.9188, device='cuda:0')",0.4416,0.5332,0.5488,0.5544,0.5548,0.556,0.5564,0.5568,0.5568,0.5568,0.5568,0.5568
dynamic,2,100,200,"tensor(9.9188, device='cuda:0')",0.0532,0.1476,0.2204,0.3064,0.3664,0.4112,0.4424,0.4724,0.498,0.522,0.5396,0.5568,0.5736,0.5872,0.6036,0.7504,0.8124,0.8628,0.904,0.9424,0.9684,0.9892,1.0
total,2,100,30,"tensor(26.5172, device='cuda:0')",0.7472,0.932,0.9664,0.9812,0.9852,0.9872,0.988,0.9888,0.9888,0.9892,0.9904,0.9904
dynamic,2,100,30,"tensor(26.5172, device='cuda:0')",0.524,0.8304,0.9088,0.9468,0.9624,0.9728,0.978,0.9808,0.9852,0.988,0.9892,0.9904,0.9916,0.9924,0.9936,0.9984,0.9988,0.9988,0.9996,1.0,1.0,1.0,1.0
total,2,100,60,"tensor(22.6104, device='cuda:0')",0.7492,0.9252,0.9524,0.9632,0.9664,0.9684,0.9688,0.9696,0.9704,0.9708,0.9716,0.9716
dynamic,2,100,60,"tensor(22.6104, device='cuda:0')",0.3484,0.6596,0.7732,0.86,0.894,0.9112,0.9276,0.9392,0.9496,0.9564,0.964,0.9716,0.9748,0.9768,0.9788,0.9944,0.9952,0.9956,0.9968,0.9976,0.9988,1.0,1.0
total,2,100,60,"tensor(22.6104, device='cuda:0')",0.7492,0.9252,0.9524,0.9632,0.9664,0.9684,0.9688,0.9696,0.9704,0.9708,0.9716,0.9716
dynamic,2,100,60,"tensor(22.6104, device='cuda:0')",0.3484,0.6596,0.7732,0.86,0.894,0.9112,0.9276,0.9392,0.9496,0.9564,0.964,0.9716,0.9748,0.9768,0.9788,0.9944,0.9952,0.9956,0.9968,0.9976,0.9988,1.0,1.0
total,2,100,70,"tensor(20.9232, device='cuda:0')",0.7396,0.9072,0.9316,0.9408,0.9436,0.944,0.9444,0.9456,0.946,0.946,0.9464,0.9464
dynamic,2,100,70,"tensor(20.9232, device='cuda:0')",0.2344,0.5004,0.6352,0.7552,0.8188,0.8524,0.8756,0.8944,0.9132,0.9288,0.9392,0.9464,0.952,0.9564,0.9604,0.9896,0.9948,0.9976,0.9976,0.9988,0.9992,1.0,1.0
total,2,100,60,"tensor(22.6104, device='cuda:0')",0.7492,0.9252,0.9524,0.9632,0.9664,0.9684,0.9688,0.9696,0.9704,0.9708,0.9716,0.9716
dynamic,2,100,60,"tensor(22.6104, device='cuda:0')",0.3484,0.6596,0.7732,0.86,0.894,0.9112,0.9276,0.9392,0.9496,0.9564,0.964,0.9716,0.9748,0.9768,0.9788,0.9944,0.9952,0.9956,0.9968,0.9976,0.9988,1.0,1.0
total,2,100,70,"tensor(20.9232, device='cuda:0')",0.7396,0.9072,0.9316,0.9408,0.9436,0.944,0.9444,0.9456,0.946,0.946,0.9464,0.9464
dynamic,2,100,70,"tensor(20.9232, device='cuda:0')",0.2344,0.5004,0.6352,0.7552,0.8188,0.8524,0.8756,0.8944,0.9132,0.9288,0.9392,0.9464,0.952,0.9564,0.9604,0.9896,0.9948,0.9976,0.9976,0.9988,0.9992,1.0,1.0
total,2,100,70,"tensor(20.9232, device='cuda:0')",0.7396,0.9072,0.9316,0.9408,0.9436,0.944,0.9444,0.9456,0.946,0.946,0.9464,0.9464
dynamic,2,100,70,"tensor(20.9232, device='cuda:0')",0.2344,0.5004,0.6352,0.7552,0.8188,0.8524,0.8756,0.8944,0.9132,0.9288,0.9392,0.9464,0.952,0.9564,0.9604,0.9896,0.9948,0.9976,0.9976,0.9988,0.9992,1.0,1.0
total,2,100,80,"tensor(21.2404, device='cuda:0')",0.7344,0.9048,0.93,0.9408,0.9432,0.9448,0.9452,0.946,0.9464,0.9468,0.9472,0.9472
dynamic,2,100,80,"tensor(21.2404, device='cuda:0')",0.2852,0.5744,0.6928,0.7944,0.8396,0.8668,0.8884,0.9064,0.9208,0.9288,0.9368,0.9472,0.9508,0.9552,0.958,0.984,0.9888,0.992,0.9932,0.9944,0.9968,0.9988,1.0
total,2,100,10,"tensor(25.9644, device='cuda:0')",0.7616,0.9428,0.97,0.9824,0.9868,0.9892,0.9892,0.9904,0.9904,0.9916,0.992,0.992
dynamic,2,100,10,"tensor(25.9644, device='cuda:0')",0.5132,0.8068,0.886,0.9392,0.96,0.972,0.9788,0.982,0.9876,0.9888,0.9904,0.992,0.9936,0.9948,0.9948,0.9976,0.9984,0.9992,0.9992,0.9996,0.9996,1.0,1.0
total,2,100,30,"tensor(26.5172, device='cuda:0')",0.7616,0.9424,0.9696,0.9828,0.9852,0.9872,0.9876,0.9888,0.9888,0.9892,0.9904,0.9904
dynamic,2,100,30,"tensor(26.5172, device='cuda:0')",0.5312,0.8304,0.9096,0.9492,0.9632,0.9724,0.9804,0.9828,0.9852,0.9876,0.9896,0.99,0.9912,0.9928,0.9936,0.9984,0.9988,0.9988,0.9996,1.0,1.0,1.0,1.0
total,2,100,50,"tensor(24.1848, device='cuda:0')",0.7592,0.9392,0.9664,0.9792,0.982,0.984,0.984,0.9856,0.986,0.9864,0.9876,0.988
dynamic,2,100,50,"tensor(24.1848, device='cuda:0')",0.4508,0.748,0.8504,0.9156,0.9404,0.9564,0.9672,0.9748,0.9808,0.9844,0.9876,0.9884,0.9896,0.9904,0.9912,0.9964,0.9968,0.998,0.9984,0.9992,1.0,1.0,1.0
total,2,100,100,"tensor(5.9680, device='cuda:0')",0.282,0.3356,0.34,0.3428,0.3444,0.3444,0.3448,0.3452,0.3452,0.3456,0.3456,0.3456
dynamic,2,100,100,"tensor(5.9680, device='cuda:0')",0.0936,0.1736,0.1976,0.2324,0.2508,0.268,0.2808,0.2928,0.3032,0.3144,0.326,0.3428,0.3516,0.3584,0.3688,0.5236,0.6196,0.7004,0.7692,0.832,0.8892,0.946,1.0
