error_bar,layer1
0.185,0.185
error_bar,layer1,layer2
0.195,0.17984189723320157,0.21052631578947367
error_bar,layer1,layer2,layer3
0.191,0.1918997107039537,0.20721649484536084,0.17421953675730112
error_bar,layer1,layer2,layer3,layer4
0.233,0.22814070351758794,0.216796875,0.24402390438247012,0.2436028659160696
error_bar,layer1,layer2,layer3,layer4,layer5
0.2698,0.21645445641527913,0.248,0.2893401015228426,0.31445904954499493,0.28258706467661693
error_bar,layer1,layer2,layer3,layer4,layer5,layer6
0.30383333333333334,0.16973415132924335,0.2216796875,0.30975143403441685,0.37473684210526315,0.3862536302032914,0.3622291021671827
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7
0.32457142857142857,0.1860236220472441,0.22991967871485944,0.2991967871485944,0.3677811550151976,0.3933333333333333,0.437941473259334,0.35892116182572614
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8
0.381125,0.19395711500974658,0.21547502448579825,0.3200398803589232,0.3682572614107884,0.4879275653923541,0.5211693548387096,0.5151209677419355,0.4375
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9
0.40755555555555556,0.1705653021442495,0.20490196078431372,0.296875,0.3695431472081218,0.5054509415262636,0.5432595573440644,0.5798994974874372,0.5527123848515865,0.4526112185686654
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
0.4447,0.155599603567889,0.17408123791102514,0.2812182741116751,0.38591269841269843,0.526369168356998,0.5485436893203883,0.6023506366307542,0.6458546571136131,0.6387434554973822,0.5065326633165829
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11
0.4550909090909091,0.18253968253968253,0.21244019138755982,0.2676200204290092,0.3600416233090531,0.44929006085192696,0.5035175879396985,0.5629268292682926,0.6487025948103793,0.6858846918489065,0.6316326530612245,0.5054294175715696
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12
0.4855833333333333,0.14944834503510532,0.1807348560079444,0.2683673469387755,0.3564862104187947,0.46579476861167,0.5220588235294118,0.6188166828322017,0.6721311475409836,0.6997026759167493,0.6797979797979798,0.6630963972736125,0.5305917753259779
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13
0.5134615384615384,0.18495934959349594,0.20561685055165496,0.2595959595959596,0.3682051282051282,0.49949031600407745,0.5227272727272727,0.6148514851485148,0.6798780487804879,0.7332704995287465,0.6977225672877847,0.6996007984031936,0.6863323500491643,0.5014691478942214
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14
0.5344285714285715,0.176056338028169,0.1873767258382643,0.29187562688064195,0.41810783316378436,0.4548223350253807,0.5061475409836066,0.5970588235294118,0.6676356589147286,0.7155778894472362,0.7571976967370442,0.7189672293942403,0.7313131313131314,0.6872509960159362,0.5577523413111343
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15
0.5544666666666667,0.17599186164801628,0.191699604743083,0.24850299401197604,0.3295218295218295,0.4108761329305136,0.5298076923076923,0.583417593528817,0.6635773864689527,0.7241379310344828,0.7505112474437627,0.7687140115163148,0.7684426229508197,0.7770833333333333,0.745658835546476,0.6424242424242425
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16
0.56125,0.19003115264797507,0.201980198019802,0.22054380664652568,0.3468085106382979,0.4318407960199005,0.5029126213592233,0.5515564202334631,0.6346534653465347,0.6993927125506073,0.7448559670781894,0.7437137330754352,0.7415169660678643,0.749003984063745,0.7876288659793814,0.7690821256038647,0.6387795275590551
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
0.5825882352941176,0.19750519750519752,0.20568070519098922,0.25,0.31606765327695563,0.4300100704934542,0.5014691478942214,0.5712871287128712,0.6876818622696411,0.6977205153617443,0.7214428857715431,0.7579051383399209,0.7757201646090535,0.7776699029126214,0.7908560311284046,0.8025343189017952,0.7772373540856031,0.614
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18
0.5908333333333333,0.16476683937823836,0.18829268292682927,0.25825825825825827,0.35185185185185186,0.4158415841584158,0.46755921730175076,0.5416666666666666,0.6399594320486816,0.6911764705882353,0.7333333333333333,0.7452923686818632,0.7693089430894309,0.780743565300286,0.7905138339920948,0.8331726133076182,0.8095238095238095,0.7944214876033058,0.646403242147923
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19
0.6220526315789474,0.17659352142110762,0.18444666001994017,0.25653923541247486,0.34658511722731905,0.43224530168150344,0.4923391215526047,0.5849952516619183,0.6736318407960199,0.7038461538461539,0.7492447129909365,0.7502392344497608,0.7647657841140529,0.7739307535641547,0.8112244897959183,0.8528301886792453,0.859375,0.8340248962655602,0.8294736842105264,0.7181544633901705
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20
0.62835,0.16548940464177597,0.1844181459566075,0.25172074729596855,0.3393574297188755,0.4107142857142857,0.49948400412796695,0.555667001003009,0.659942363112392,0.7088235294117647,0.7281059063136456,0.7680722891566265,0.7808764940239044,0.78159757330637,0.8383534136546185,0.8407517309594461,0.8385469223007064,0.8486096807415036,0.8393731635651323,0.8402010050251256,0.6962663975782039
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21
0.6284285714285714,0.1779324055666004,0.17895771878072764,0.23865877712031558,0.3077699293642785,0.39068825910931176,0.44242424242424244,0.543245869776482,0.6051080550098232,0.654510556621881,0.7048371174728529,0.7388282025819265,0.7608465608465609,0.7627118644067796,0.8360488798370672,0.8395303326810176,0.832,0.8527724665391969,0.8792016806722689,0.8718209562563581,0.8552631578947368,0.7510373443983402
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22
0.641090909090909,0.18756169792694966,0.197265625,0.22871287128712872,0.3215725806451613,0.37116564417177916,0.45252525252525255,0.523,0.5967117988394585,0.6459747817652765,0.7306122448979592,0.7151219512195122,0.7564469914040115,0.7434343434343434,0.8331637843336724,0.8458197611292074,0.8651471984805318,0.8670520231213873,0.8706986444212722,0.896551724137931,0.8782961460446247,0.8701684836471755,0.736734693877551
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23
0.6366086956521739,0.1618669314796425,0.175715695952616,0.22859922178988326,0.2892057026476578,0.3614457831325301,0.40423387096774194,0.5183714001986097,0.5753694581280788,0.6528447444551592,0.694672131147541,0.7041707080504365,0.7366296670030272,0.7331433998100665,0.7982456140350878,0.8438133874239351,0.8529411764705882,0.8616600790513834,0.8704663212435233,0.8721413721413721,0.8902564102564102,0.8763600395647874,0.8513238289205702,0.7228541882109617
error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24
0.6632916666666666,0.19866284622731614,0.18503937007874016,0.2713026444662096,0.3016032064128257,0.3721163490471414,0.461,0.502020202020202,0.6099706744868035,0.6353276353276354,0.6919191919191919,0.7140058765915769,0.7483253588516746,0.780040733197556,0.8080614203454894,0.8436213991769548,0.8568398727465536,0.8759124087591241,0.8928571428571429,0.8988212180746562,0.9200799200799201,0.9271047227926078,0.8936605316973415,0.8731117824773413,0.7272727272727273